n_estimators,learning_rate,num_leaves,min_child_samples,colsample_bytree,subsample,cv_ndcg
300,0.01,31,20,0.8,0.8,0.7124202601824078
500,0.01,31,20,0.8,1.0,0.7124151207768242
500,0.01,31,20,0.8,0.8,0.7124151207768242
500,0.01,63,20,0.8,0.8,0.7124151207768242
500,0.01,63,20,0.8,1.0,0.7124151207768242
100,0.05,15,20,0.8,1.0,0.7123748911702351
100,0.05,15,20,0.8,0.8,0.7123748911702351
100,0.01,15,20,0.8,0.8,0.7123674937134729
100,0.01,15,20,0.8,1.0,0.7123674937134729
500,0.01,63,10,0.8,1.0,0.7123556073348565
500,0.01,63,10,0.8,0.8,0.7123556073348565
500,0.1,31,10,0.8,0.8,0.7123527829158294
500,0.1,31,10,0.8,1.0,0.7123527829158294
500,0.1,31,10,1.0,0.8,0.7123325068520989
500,0.1,31,10,1.0,1.0,0.7123325068520989
300,0.01,63,20,1.0,0.8,0.7123305939242768
300,0.01,63,20,1.0,1.0,0.7123305939242768
300,0.01,31,20,1.0,0.8,0.7123305939242768
300,0.01,31,20,1.0,1.0,0.7123305939242768
500,0.1,63,10,0.8,1.0,0.7123305210949279
500,0.1,63,10,0.8,0.8,0.7123305210949279
300,0.1,63,10,0.8,1.0,0.7122869548353219
300,0.1,63,10,0.8,0.8,0.7122869548353219
300,0.05,15,20,0.8,1.0,0.7122556050816444
300,0.05,15,20,0.8,0.8,0.7122556050816444
100,0.01,31,20,1.0,1.0,0.712155068066143
100,0.01,31,20,1.0,0.8,0.712155068066143
100,0.01,63,20,1.0,1.0,0.712155068066143
100,0.01,63,20,1.0,0.8,0.712155068066143
100,0.1,15,20,0.8,0.8,0.7121416911983705
100,0.1,15,20,0.8,1.0,0.7121416911983705
300,0.01,31,10,1.0,0.8,0.712119176895906
300,0.01,31,10,1.0,1.0,0.712119176895906
100,0.01,31,20,0.8,1.0,0.712076712714412
100,0.01,31,20,0.8,0.8,0.712076712714412
100,0.01,63,20,0.8,1.0,0.712076712714412
100,0.01,63,20,0.8,0.8,0.712076712714412
100,0.05,63,10,1.0,0.8,0.7119503910513245
100,0.05,63,10,1.0,1.0,0.7119503910513245
